Type,Tester,Delay,Lossrate,20,1'40,3',4'20,5'40,7',8'20,9'40,11',12'20,13¡¯40,15',16'20,17'40,19',20'20,21'40,23'
Verification,6,350,0.4,5,4,4,4,3,3,3,2,2,2,1,2,1,,,,,
Verification,7,350,0.4,4,4,4,3,3,3,2,2,1,1,1,,,,,,,
Verification,8,350,0.4,4,5,4,4,4,3,3,3,3,2,1,,,,,,,
Verification,9,350,0.4,5,4,4,4,3,3,3,2,2,2,1,,,,,,,
Verification,10,350,0.4,5,4,4,3,4,3,3,2,2,1,1,,,,,,,
Model,1,350,0.6,4,4,3,3,3,3,2,2,1,1,1,,,,,,,
Model,2,350,0.6,4,4,4,4,3,2,3,3,2,2,2,,,,,,,
Model,3,350,0.6,3,3,2,3,2,3,2,2,2,2,1,1,,,,,,
Model,4,350,0.6,4,4,3,3,3,2,2,2,2,1,2,1,,,,,,
Model,5,350,0.6,3,3,4,3,2,2,2,1,1,1,1,,,,,,,
Verification,6,350,0.6,3,4,4,3,3,3,2,2,1,2,1,1,,,,,,
Verification,7,350,0.6,4,3,3,3,2,2,2,2,2,1,1,1,,,,,,
Verification,8,350,0.6,3,3,3,4,3,3,3,2,2,2,2,1,,,,,,
Verification,9,350,0.6,4,4,4,3,3,3,2,2,2,1,1,,,,,,,
Verification,10,350,0.6,4,4,3,4,3,3,3,2,2,2,1,1,1,,,,,
Model,1,350,0.8,3,3,3,3,2,2,1,1,1,1,,,,,,,,
Model,2,350,0.8,3,3,3,3,3,3,2,2,2,1,1,1,,,,,,
Model,3,350,0.8,3,3,3,2,2,2,2,2,1,1,1,1,,,,,,
Model,4,350,0.8,3,3,2,3,2,2,2,1,2,1,1,,,,,,,
Model,5,350,0.8,3,3,4,3,3,2,2,2,1,2,1,1,1,,,,,
Verification,6,350,0.8,3,3,3,2,2,2,1,1,2,1,1,1,,,,,,
Verification,7,350,0.8,3,4,3,3,3,2,2,2,1,1,,,,,,,,
Verification,8,350,0.8,3,2,3,3,3,2,2,2,1,1,,,,,,,,
Verification,9,350,0.8,3,4,3,3,3,2,2,2,2,1,2,1,,,,,,
Verification,10,350,0.8,3,2,3,3,2,2,2,1,1,1,1,1,1,,,,,
Model,1,450,0,5,5,4,5,4,4,4,5,5,3,4,,,,,,,
Model,2,450,0,5,5,4,4,4,4,5,4,,,,,,,,,,
Model,3,450,0,5,5,4,4,4,5,3,5,4,,,,,,,,,
Model,4,450,0,5,4,4,5,4,5,4,4,5,3,,,,,,,,
Model,5,450,0,5,5,4,5,5,5,4,4,4,5,4,,,,,,,
Verification,6,450,0,5,6,5,4,5,5,4,4,4,5,,,,,,,,
Verification,7,450,0,5,5,5,4,3,4,3,3,3,4,,,,,,,,
Verification,8,450,0,5,4,4,4,5,5,5,4,5,4,4,,,,,,,
Verification,9,450,0,5,5,4,4,3,4,4,4,3,3,3,,,,,,,
Verification,10,450,0,5,5,3,4,5,4,5,5,4,4,5,,,,,,,
Model,1,450,0.2,4,3,5,5,4,4,3,3,4,3,3,3,,,,,,
Model,2,450,0.2,4,4,4,5,5,4,4,5,3,4,5,,,,,,,
Model,3,450,0.2,5,4,4,5,4,4,5,4,4,,,,,,,,,
Model,4,450,0.2,4,3,4,4,3,3,3,4,3,3,3,,,,,,,
Model,5,450,0.2,4,4,4,5,3,4,5,4,4,3,3,2,,,,,,
Verification,6,450,0.2,5,4,5,4,4,4,3,2,3,3,,,,,,,,
Verification,7,450,0.2,5,5,4,4,4,5,5,3,4,4,4,,,,,,,
Verification,8,450,0.2,4,4,3,4,4,4,3,3,4,3,,,,,,,,
Verification,9,450,0.2,4,5,4,5,4,4,4,3,4,3,3,3,3,,,,,
Verification,10,450,0.2,4,3,3,4,4,4,3,4,3,3,,,,,,,,
Model,1,450,0.4,4,4,4,4,3,3,3,3,3,2,2,,,,,,,
Model,2,450,0.4,4,4,4,4,4,3,3,3,2,2,1,,,,,,,
Model,3,450,0.4,3,3,3,2,2,2,2,2,2,2,1,,,,,,,
Model,4,450,0.4,4,3,4,3,3,3,2,2,1,1,,,,,,,,
Model,5,450,0.4,3,4,3,3,3,3,2,1,2,1,1,1,,,,,,
